Date,Description,Debit,Credit
2024-01-02,SALARY CREDIT JAN 2024,0,85000
2024-01-03,SWIGGY ORDER 9823,450,0
2024-01-04,UBER TRIP BLR,220,0
2024-01-05,AMAZON SHOPPING ORDER,1899,0
2024-01-06,NETFLIX SUBSCRIPTION,649,0
2024-01-07,HDFC CREDIT CARD PAYMENT,12000,0
2024-01-08,ZOMATO ORDER DINNER,380,0
2024-01-09,PETROL PUMP IOCL,2500,0
2024-01-10,APOLLO PHARMACY,340,0
2024-01-11,ELECTRICITY BILL PAYMENT,1850,0
2024-01-12,SWIGGY ORDER LUNCH,290,0
2024-01-13,AMAZON GROCERIES,1200,0
2024-01-14,UBER TRIP AIRPORT,650,0
2024-01-15,GYM MEMBERSHIP FEES,1500,0
2024-01-16,RENT PAYMENT JAN,25000,0
2024-01-17,NYKAA ORDER,890,0
2024-01-18,COURSERA SUBSCRIPTION,1500,0
2024-01-19,DOMINOS PIZZA ORDER,450,0
2024-01-20,MOBILE RECHARGE JIO,299,0
2024-01-21,MAKEMYTRIP FLIGHT BOM,12500,0
2024-01-22,SWIGGY ORDER,320,0
2024-01-23,LIC PREMIUM PAYMENT,5000,0
2024-01-24,AMAZON SHOPPING,850,0
2024-01-25,UBER TRIP,180,0
2024-01-26,RESTAURANT MEAL,1100,0
2024-01-27,PETROL PUMP HP,3800,0
2024-01-28,HOSPITAL CONSULTATION DR SHARMA,800,0
2024-01-29,AMAZON ELECTRONICS LAPTOP,65000,0
2024-01-30,SWIGGY ORDER,410,0
2024-01-31,HDFC BANK CHARGES,118,0
2024-02-01,SALARY CREDIT FEB 2024,0,85000
2024-02-02,ZOMATO ORDER,560,0
2024-02-03,UBER TRIP,310,0
2024-02-04,FLIPKART SALE PURCHASE,3200,0
2024-02-05,SPOTIFY PREMIUM,119,0
2024-02-06,WATER BILL PAYMENT,320,0
2024-02-07,SWIGGY ORDER,490,0
2024-02-08,CAFE COFFEE DAY,280,0
2024-02-09,METRO CARD RECHARGE,500,0
2024-02-10,RENT PAYMENT FEB,25000,0
2024-02-11,AMAZON ORDER,1750,0
2024-02-12,OYO HOTEL BOOKING,4500,0
2024-02-13,UBER TRIP,240,0
2024-02-14,VALENTINE DINNER RESTAURANT,4800,0
2024-02-15,APOLLO PHARMACY,620,0
2024-02-16,MUTUAL FUND SIP ZERODHA,5000,0
2024-02-17,SWIGGY ORDER,370,0
2024-02-18,INTERNET BILL AIRTEL,999,0
2024-02-19,AMAZON BOOKS ORDER,680,0
2024-02-20,PETROL PUMP IOCL,2200,0
2024-02-21,SWIGGY ORDER,440,0
2024-02-22,HDFC LOAN EMI,18500,0
2024-02-23,UBER TRIP,190,0
2024-02-24,RESTAURANT MEAL BIRTHDAY,8500,0
2024-02-25,BLINKIT GROCERY,1100,0
2024-02-26,AMAZON SHOPPING,2300,0
2024-02-27,GYM MEMBERSHIP,1500,0
2024-02-28,SWIGGY ORDER,330,0
